area,UTM_X,UTM_Y
14.962148,650383.750722,5013375.14786
46.030543,602038.086178,4990981.64963
25.088104,651144.942708,5045996.03543
8.443,586693.270709,4999215.08459
16.530504,658476.100799,5046240.83912
92.437007,605810.831012,5007834.85186
6.085649,643230.428604,5049910.38557
215.68874,651868.055351,5004356.17354
90.904307,614836.08336,4980538.88839
33.206415,659365.467708,5027500.17531
66.459994,667302.447497,5033715.56937
20.168699,601814.873404,5008638.75768
13.574696,668273.380022,5053728.42252
12.514696,626779.968667,5030353.46237
81.105199,659584.130011,5023823.66998
25.074047,588646.201344,5015099.38162
108.7409,638144.786125,5035011.32268
11.931051,672436.185917,5027837.7045
13.272248,641572.557158,5007295.79996
266.279779,673569.754992,5024619.00668
29.160032,665055.999845,5034881.49234
12.963399,587943.435497,5003919.02023
120.971751,642646.201495,5037318.01398
6.994797,653900.614572,5030038.03112
148.924773,628829.983485,5026839.95328
7.247352,598159.654558,5011737.46828
44.248554,589532.134983,4990422.9188
12.980149,604681.863124,5007408.99482
280.918337,598445.726922,4980108.26803
16.75525,624163.755877,5019141.30312
21.867702,592472.976577,4994970.24441
18.782152,661945.691117,5017173.29632
63.9691,652982.216842,5007170.24995
16.633099,682408.3377,5042968.44782
83.915183,615434.565689,4981559.79048
33.845549,598508.610214,4995745.35624
37.177398,594771.121738,5009910.44356
5.02405,602456.774029,5008965.66894
19.890771,658181.614187,5028529.56802
98.3674,615633.657445,4984742.18648
68.469849,646003.189257,5026710.62034
18.954454,612188.218562,4974123.49291
9.760249,604255.221307,4985525.36901
126.920446,642593.513951,4993800.0283
720.851164,584399.512183,5001385.19081
18.685949,658102.32227,5027705.39999
9.464299,627688.962371,5021245.52403
19.863701,649102.766408,4998915.88279
25.457951,610910.879841,4994839.00816
60.979053,617934.133131,5010218.61573
366.906962,590551.575466,5017628.74972
17.917749,663856.919567,5055066.69169
15.491552,653822.517687,5044729.95127
22.144045,591303.887062,5002309.9121
3.600152,652190.14846,5051151.9501
159.855646,664717.81894,5054525.60444
141.498715,678388.288631,5050680.57011
5.957304,585084.636318,5008394.55927
260.145154,587239.11495,5000592.68912
3.009501,682832.360942,5044010.36326
9.045152,614422.596402,4971205.75774
21.537645,581723.866934,5001385.10735
8.754248,653022.580407,5025451.96131
17.46365,653180.940452,5026887.59594
78.946947,649780.700386,4990468.2266
6.707398,608237.149072,4984731.42711
189.179648,622339.333401,4992530.0325
3.329201,621285.153201,4991438.11245
101.03504,686808.014816,5053805.75523
19.591395,655730.398267,5029761.65011
5.63675,653861.386595,5044108.25766
11.361502,677432.96263,5028757.17612
6.27855,652264.232182,5029153.80754
2.48,662193.621578,5018325.13831
32.932198,674965.865396,5027895.91047
121.029146,678724.613971,5054789.63771
194.280351,678628.748472,5025493.90913
26.433598,673743.211189,5051745.87225
195.875058,618225.139517,5020839.73614
26.442556,658931.443704,5012586.83578
41.323945,629190.111961,5006971.37001
32.074046,678434.521387,5028765.77863
59.522504,669791.829525,5023281.59273
9.885648,647157.364226,5004466.83358
38.773105,679990.745191,5034493.18318
6.279251,664872.211541,5029149.12693
10.482254,641778.949568,5011096.99759
135.370852,666082.620742,5039911.65275
13.744851,629538.981676,5007963.68237
8.89495,610265.145876,4996431.91244
49.985805,657892.501192,5006327.78825
11.575151,604623.718226,5004416.4715
4.174198,664601.94346,5025015.70504
422.580441,663545.027861,5048418.64556
56.791002,668393.08468,5022317.07131
75.961016,690708.105602,5034105.13528
131.958796,643728.348129,4990703.47625
22.544846,598477.671031,4991641.95117
11.952599,593291.148981,5010150.12026
98.401646,646410.96087,5006554.71722
12.995049,678070.102629,5037639.18319
16.290102,602576.714006,5007960.48718
19.180548,642381.849025,5006267.65923
46.138352,643657.452758,5000670.22998
16.695053,616112.637297,4982291.28773
27.022698,668505.187843,5029981.13038
222.921604,613042.368222,4977616.20807
28.121149,655790.440253,5038443.06512
35.636452,642296.281231,4995260.01223
11.765698,670484.676711,5044086.28363
7.699546,621765.61904,5007850.90728
33.724904,582537.317795,5010818.77331
125.509253,666517.45298,5015898.47461
19.673202,643577.224655,5017358.91026
124.569945,641111.353173,5034935.7579
227.33108,662950.488974,5025668.36881
149.062357,661550.937903,5009404.98056
8.314455,628701.329175,5008987.50137
43.222924,668552.022108,5031724.24729
34.169597,651636.554059,5028701.9532
32.103654,634959.691475,5013916.98544
74.311528,620742.549695,4980829.37215
156.677717,621789.617076,4977581.38132
80.329449,652067.782674,4992168.06461
28.907955,675755.767897,5025922.17474
9.584148,669352.371378,5022422.6381
95.515491,594203.415612,5007453.24991
580.785501,683324.509038,5038060.40091
175.821056,662003.588967,5054724.47809
51.296505,616835.388237,4969564.87981
14.546648,635639.672066,4979343.86189
28.924702,598152.528278,5000393.10408
139.182497,656268.220277,5003477.08667
18.52215,634843.415167,5031234.43474
15.343949,592347.486777,5010792.79127
21.510749,634938.751422,5022471.9156
19.803049,638553.81469,5033114.02939
128.201795,685716.851496,5028327.95478
152.142535,601122.317732,4992605.07761
28.426451,628924.754575,5010940.64426
192.824047,624596.76826,5035798.41988
16.088849,655609.761872,5051289.73369
8.980748,659067.456761,5012052.73427
47.077299,663653.095465,5057195.44287
9.746251,647060.953472,5004909.4874
17.154488,658811.870094,5026616.63125
39.694954,664150.995049,5008163.03908
70.030349,632118.61159,5015820.15084
58.439281,632846.792193,4973445.67883
53.752347,612867.294618,4996998.31537
66.735601,594084.883568,5008926.82503
74.196494,659340.612995,5025268.70803
17.831896,630622.639992,5017206.04151
651.495141,681089.333377,5042859.04707
26.770698,653175.596416,5050379.72968
113.743142,655851.674582,5028413.44849
112.807551,689558.908832,5021576.84613
93.257475,635914.488987,4984899.00311
40.21595,618092.983754,4970671.18528
6.1888,607987.308016,4987229.45735
3.983898,588648.47551,5018968.13717
6.313749,657614.351166,5029306.42481
147.929453,597078.399601,4999565.57201
7.324298,596678.303019,5008864.11114
107.093954,603349.915302,5011633.09636
13.110798,616358.756822,5032209.2109
10.992397,646285.069749,4997822.76846
264.045407,583760.514255,4988265.73604
172.988702,661538.33143,5036398.60408
145.425082,677030.740859,5041953.73761
8.906402,610781.732294,4996003.25797
856.627362,620742.385209,5003984.99985
33.638949,661373.712602,5033695.83919
144.3359,676810.71385,5055643.58805
